N�;Localite;Longitude;Latitude;Prof_Tle;Debit
1;GARO;"00°03'5""E";"11°02'5""";34;10,28
2;SAFOBE;"00°07'4""E";"11°02'4""";41;6,8
3;NASSABLE;"00°07'2""E";"11°01'4""";44,5;1,2
4;TONGA;"00°02'5""E";"11°00'3""";37,1;10,28
5;TIMBOU;"00°06'4""E";"11°01'4""";44;8
6;CINKASSE CENTRE;"00°02'2""E";"11°05'5""";41,6;5,2
7;TABI;"00°04'3""E";"11°05'5""";32,6;3,6
8;TCHIMBIANGBONGUE;"00°06'3""E";"10°59'3""";56,65;1,7
9;DATOULONTE;"00°07'5""E";"10°59'2""";35,7;4,2
10;GNOAGA CENTRE;"00°05'4""W";"11°06'1""";45,14;6
11;GOULOUNGOUSSI;"00°06'0""W";"11°07'1""";32,95;2
12;GOULOUNGOUSSI;"00°06'2""W";"11°07'0""";29;1,5
13;SAM-NABA;"00°10'0""E";"11°04'1""";29;32
14;CINKASSE CENTRE;"00°00'5""E";"11°06'2""";35,7;10
15;CINKASSE CENTRE;"00°01'1""E";"11°06'1""";45;2,52
16;CINKASSE CENTRE;"00°00'4""E";"11°06'2""";47;8
17;CINKASSE CENTRE;"00°00'4""E";"11°06'0""";35,5;6
18;CINKASSE CENTRE;"00°00'4""E";"11°06'4""";65;0,8
19;KARBIEGA  II;"00°03'0""E";"11°04'5""";53,65;5,7
20;BOADE CENTRE;"00°03'5""W";"11°07'0""";51;1,75
21;BOADE CENTRE;"00°04'4""W";"11°06'5""";31;45
22;KONDJORE  I;"00°04'1""E";"11°04'5""";69,1;1,6
23;ZOAMISSI;"00°03'1""W";"11°05'3""";50,9;1,88
24;NADJOUNDI CENTRE;"00°11'3""E";"11°00'4""";50,7;13
25;NADJONDORE;"00°11'0""E";"11°00'3""";68,07;1,2
26;SANKARGOU;"00°07'5""E";"11°00'4""";38;9
27;GABONI;"00°05'4""E";"11°05'0""";46,73;2,5
28;KOMILOIGA;"00°00'0""E";"11°06'3""";29;6
29;KARMONTONGUE;"00°05'4""E";"11°02'4""";32;6
30;YORGOU;"00°07'0""E";"11°02'2""";29;4,5
31;TIMBOU;"00°06'2""E";"11°02'1""";41;1
32;NASSIEGOU;"00°07'3""E";"11°04'4""";49,87;3,39
33;SOUKOUDOUME;"00°07'5""E";"11°01'3""";32;12
34;SAMOMONI;"00°01'4""E";"11°03'0""";29;6
35;KPINDJIEME;"00°01'4""E";"11°02'3""";32;6
36;YOAKPATE;"00°03'0""E";"11°02'3""";44;1
37;NAMBEAUTIBE;"00°04'0""E";"11°01'5""";29;6
38;GNAPOUK;"00°04'3""E";"11°00'1""";31,01;3,6
39;SAWARDJOAGA  II;"00°03'3""E";"11°00'2""";60;0
40;KALAO;"00°05'2""E";"11°00'4""";380;3
41;YIEGO;"00°01'5""E";"11°06'0""";36;3,6
42;PISSOSGO;"00°00'3""E";"11°05'4""";38;1,5
43;TAMPILEGO;"00°02'0""E";"11°06'2""";45,2;3,6
44;SEGNABIN;"00°00'2""E";"11°06'1""";47,7;4,5
